id,size,puzzle,solution,created_at
lgp-test-2x6-24,2*6,"There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - Each person has a unique type of pet: `cat`, `dog`
 - The people are of nationalities: `dane`, `brit`
 - Each person has an occupation: `doctor`, `engineer`
 - People have unique favorite sports: `soccer`, `basketball`
 - Everyone has a unique favorite cigar: `prince`, `pall mall`

## Clues:
1. The person who has a cat and the Prince smoker are next to each other.
2. Eric is directly left of the person who owns a dog.
3. The Dane is not in the second house.
4. Arnold is the person who is a doctor.
5. The person who loves basketball is not in the second house.
",[object Object],2024-07-03T21:21:29.205471
lgp-test-6x2-9,6*2,"There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Arnold`, `Peter`, `Eric`, `Carol`, `Alice`
 - They all have a unique favorite flower: `lilies`, `daffodils`, `carnations`, `tulips`, `iris`, `roses`

## Clues:
1. Alice and Bob are next to each other.
2. Carol is not in the first house.
3. There are two houses between Peter and the person who loves the rose bouquet.
4. The person who loves a bouquet of daffodils is somewhere to the left of the person who loves the vase of tulips.
5. The person who loves the boquet of iris is not in the second house.
6. The person who loves the rose bouquet is somewhere to the right of Arnold.
7. The person who loves a bouquet of daffodils is somewhere to the right of the person who loves a carnations arrangement.
8. Arnold is somewhere to the left of Eric.
9. Carol and the person who loves a carnations arrangement are next to each other.
10. Arnold is somewhere to the right of the person who loves the boquet of iris.
11. The person who loves a carnations arrangement is directly left of Alice.
",[object Object],2024-07-03T21:21:29.209740
lgp-test-4x2-18,4*2,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Alice`, `Peter`, `Eric`
 - Each person has a favorite color: `green`, `red`, `white`, `yellow`

## Clues:
1. The person whose favorite color is red is directly left of Eric.
2. Arnold is the person whose favorite color is green.
3. Eric is directly left of the person who loves yellow.
4. Alice is in the first house.
",[object Object],2024-07-03T21:21:29.206918
lgp-test-5x2-15,5*2,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Bob`, `Arnold`, `Peter`, `Eric`
 - People have unique favorite sports: `tennis`, `baseball`, `soccer`, `basketball`, `swimming`

## Clues:
1. The person who loves tennis is not in the fifth house.
2. The person who loves swimming and Alice are next to each other.
3. The person who loves swimming is directly left of the person who loves tennis.
4. Eric is the person who loves soccer.
5. Eric is in the first house.
6. Arnold is in the second house.
7. Peter is the person who loves baseball.
8. Alice is not in the third house.
",[object Object],2024-07-03T21:21:29.208288
lgp-test-5x4-2,5*4,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Eric`, `Arnold`, `Alice`, `Peter`
 - Each person has a favorite color: `blue`, `green`, `white`, `yellow`, `red`
 - People use unique phone models: `huawei p50`, `samsung galaxy s21`, `oneplus 9`, `iphone 13`, `google pixel 6`
 - Each person has an occupation: `artist`, `teacher`, `doctor`, `engineer`, `lawyer`

## Clues:
1. The person who is an engineer is somewhere to the right of the person who is a lawyer.
2. Bob is in the second house.
3. The person who uses a Samsung Galaxy S21 is the person who is a doctor.
4. The person who is a doctor is the person who loves blue.
5. The person whose favorite color is green is not in the fifth house.
6. The person who is a lawyer is the person who uses a OnePlus 9.
7. The person who loves blue is directly left of the person whose favorite color is red.
8. The person who is a lawyer is somewhere to the right of the person who uses a Samsung Galaxy S21.
9. There is one house between the person who uses a Google Pixel 6 and the person who uses a Huawei P50.
10. Arnold is the person who is an engineer.
11. Alice is the person who loves yellow.
12. The person who uses a Google Pixel 6 is Eric.
13. The person who uses a Google Pixel 6 is the person who is a teacher.
14. The person whose favorite color is red is somewhere to the right of the person who is a teacher.
",[object Object],2024-07-03T21:21:29.208737
lgp-test-4x4-21,4*4,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Peter`, `Alice`, `Arnold`
 - People own unique car models: `tesla model 3`, `honda civic`, `toyota camry`, `ford f150`
 - Each person has a unique birthday month: `jan`, `april`, `sept`, `feb`
 - Each person has a unique hobby: `painting`, `cooking`, `gardening`, `photography`

## Clues:
1. The person whose birthday is in January is not in the second house.
2. The photography enthusiast is somewhere to the left of Eric.
3. The photography enthusiast is somewhere to the left of Peter.
4. The person who owns a Honda Civic is directly left of the person who owns a Tesla Model 3.
5. There is one house between the person who owns a Tesla Model 3 and the person who enjoys gardening.
6. The person who owns a Tesla Model 3 is Arnold.
7. The person whose birthday is in February is the person who loves cooking.
8. The person who owns a Toyota Camry is Peter.
9. The person whose birthday is in April is Arnold.
10. Alice is the photography enthusiast.
11. Peter is the person whose birthday is in January.
",[object Object],2024-07-03T21:21:29.207463
lgp-test-5x6-0,5*6,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Bob`, `Alice`, `Eric`, `Peter`
 - People have unique favorite sports: `basketball`, `soccer`, `tennis`, `baseball`, `swimming`
 - The people keep unique animals: `dog`, `fish`, `horse`, `bird`, `cat`
 - People use unique phone models: `oneplus 9`, `google pixel 6`, `samsung galaxy s21`, `iphone 13`, `huawei p50`
 - People have unique hair colors: `black`, `red`, `brown`, `blonde`, `gray`
 - Each person lives in a unique style of house: `modern`, `craftsman`, `victorian`, `ranch`, `colonial`

## Clues:
1. The person who has gray hair is the person who loves tennis.
2. The person in a ranch-style home is in the fourth house.
3. The person living in a colonial-style house is the person who loves swimming.
4. The dog owner is somewhere to the right of the person who has gray hair.
5. The fish enthusiast is the person who has gray hair.
6. The person who has black hair is not in the fifth house.
7. The person who uses a Samsung Galaxy S21 is the bird keeper.
8. There is one house between the fish enthusiast and the person who uses a Samsung Galaxy S21.
9. The person residing in a Victorian house is somewhere to the left of the person in a Craftsman-style house.
10. The person who has red hair is not in the fifth house.
11. There is one house between the person who uses a Samsung Galaxy S21 and the person who uses a Huawei P50.
12. The person who uses an iPhone 13 is the person in a Craftsman-style house.
13. Eric is the person who has red hair.
14. The person who has red hair is not in the fourth house.
15. The person who uses a OnePlus 9 is in the first house.
16. The person who loves soccer is the dog owner.
17. The person who keeps horses is Bob.
18. Arnold is the fish enthusiast.
19. The person who loves baseball is Peter.
20. The person who loves soccer is in the fourth house.
21. The person who has blonde hair is directly left of the person who has black hair.
",[object Object],2024-07-03T21:21:29.209343
lgp-test-2x3-9,2*3,"There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`
 - Each person lives in a unique style of house: `colonial`, `victorian`
 - People use unique phone models: `iphone 13`, `samsung galaxy s21`

## Clues:
1. Eric is somewhere to the left of the person who uses an iPhone 13.
2. The person who uses a Samsung Galaxy S21 is the person residing in a Victorian house.
",[object Object],2024-07-03T21:21:29.204716
lgp-test-5x5-12,5*5,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Arnold`, `Eric`, `Bob`, `Peter`
 - Everyone has a favorite smoothie: `watermelon`, `cherry`, `dragonfruit`, `lime`, `desert`
 - People have unique favorite music genres: `hip hop`, `classical`, `rock`, `pop`, `jazz`
 - Everyone has something unique for lunch: `grilled cheese`, `pizza`, `spaghetti`, `stir fry`, `stew`
 - Each person has a unique favorite drink: `tea`, `root beer`, `milk`, `water`, `coffee`

## Clues:
1. The coffee drinker is not in the first house.
2. The person who loves jazz music is the Desert smoothie lover.
3. The Watermelon smoothie lover is in the fourth house.
4. The coffee drinker is directly left of Peter.
5. The one who only drinks water is the person who loves hip-hop music.
6. The Dragonfruit smoothie lover is directly left of the one who only drinks water.
7. The Desert smoothie lover is in the fifth house.
8. The person who loves stir fry is somewhere to the right of Bob.
9. The person who is a pizza lover is the person who likes Cherry smoothies.
10. The person who loves classical music is the person who loves the stew.
11. The one who only drinks water is Bob.
12. The root beer lover is the Dragonfruit smoothie lover.
13. There is one house between Arnold and the person who likes Cherry smoothies.
14. The person who loves the spaghetti eater is in the fifth house.
15. The person who likes milk is in the fifth house.
16. The person who likes Cherry smoothies is Bob.
17. The Dragonfruit smoothie lover is the person who loves the stew.
18. Eric and Peter are next to each other.
19. The person who loves rock music is not in the first house.
",[object Object],2024-07-03T21:21:29.209135
lgp-test-3x5-16,3*5,"There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Peter`
 - Each person has a unique favorite drink: `milk`, `tea`, `water`
 - People have unique favorite sports: `soccer`, `basketball`, `tennis`
 - The people keep unique animals: `bird`, `horse`, `cat`
 - People have unique favorite book genres: `mystery`, `science fiction`, `romance`

## Clues:
1. The person who loves mystery books is the person who loves tennis.
2. The person who loves tennis is the tea drinker.
3. There is one house between the person who keeps horses and the bird keeper.
4. Peter is the person who likes milk.
5. Eric is the person who keeps horses.
6. The person who loves soccer is in the third house.
7. The person who loves science fiction books is the person who loves basketball.
8. The tea drinker is Arnold.
9. The person who likes milk is the person who loves soccer.
",[object Object],2024-07-03T21:21:29.206364
lgp-test-4x3-10,4*3,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Peter`, `Eric`, `Arnold`
 - Each person has a unique type of pet: `bird`, `cat`, `dog`, `fish`
 - People use unique phone models: `iphone 13`, `google pixel 6`, `oneplus 9`, `samsung galaxy s21`

## Clues:
1. The person who uses a Google Pixel 6 is directly left of the person who has a cat.
2. Peter is the person who owns a dog.
3. The person who uses a OnePlus 9 is the person who has a cat.
4. The person who uses an iPhone 13 is Peter.
5. There are two houses between the person who uses a Google Pixel 6 and Alice.
6. The person who keeps a pet bird is somewhere to the left of Eric.
",[object Object],2024-07-03T21:21:29.207107
lgp-test-5x6-30,5*6,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Alice`, `Peter`, `Arnold`, `Bob`
 - Each person has a unique type of pet: `cat`, `dog`, `bird`, `fish`, `hamster`
 - Everyone has a unique favorite cigar: `pall mall`, `blends`, `prince`, `dunhill`, `blue master`
 - Everyone has a favorite smoothie: `watermelon`, `desert`, `dragonfruit`, `cherry`, `lime`
 - People use unique phone models: `google pixel 6`, `oneplus 9`, `samsung galaxy s21`, `iphone 13`, `huawei p50`
 - People have unique favorite sports: `baseball`, `soccer`, `basketball`, `swimming`, `tennis`

## Clues:
1. The person who loves swimming is directly left of the Prince smoker.
2. The person who smokes Blue Master is somewhere to the right of Eric.
3. The person who uses a OnePlus 9 is Arnold.
4. Arnold is somewhere to the right of the person with a pet hamster.
5. The person who owns a dog is Peter.
6. Eric is the Desert smoothie lover.
7. The person who loves basketball is not in the fifth house.
8. The person who has a cat is the person who uses a Samsung Galaxy S21.
9. The person who loves baseball is directly left of Peter.
10. There is one house between the Desert smoothie lover and the Dunhill smoker.
11. The person who loves baseball and the person who uses a Google Pixel 6 are next to each other.
12. The person who keeps a pet bird is in the second house.
13. The person who uses a Huawei P50 is in the fourth house.
14. The person who drinks Lime smoothies is in the fourth house.
15. The person partial to Pall Mall is in the fifth house.
16. The Dragonfruit smoothie lover is in the second house.
17. The person who loves tennis is the person with a pet hamster.
18. Bob is somewhere to the right of the person who owns a dog.
19. The Watermelon smoothie lover is Arnold.
20. The Prince smoker is somewhere to the left of the Dunhill smoker.
",[object Object],2024-07-03T21:21:29.209607
lgp-test-3x5-30,3*5,"There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Peter`
 - People have unique favorite music genres: `pop`, `rock`, `classical`
 - People have unique favorite sports: `tennis`, `soccer`, `basketball`
 - Everyone has a unique favorite cigar: `blue master`, `pall mall`, `prince`
 - The mothers' names in different houses are unique: `Holly`, `Aniya`, `Janelle`

## Clues:
1. The person who loves basketball is somewhere to the right of the person partial to Pall Mall.
2. The Prince smoker is not in the third house.
3. Eric is The person whose mother's name is Holly.
4. The person whose mother's name is Aniya is the person who loves pop music.
5. Arnold is directly left of the Prince smoker.
6. The person who loves tennis is the person who smokes Blue Master.
7. The Prince smoker is somewhere to the right of the person who loves classical music.
8. The person whose mother's name is Aniya is not in the second house.
",[object Object],2024-07-03T21:21:29.206453
lgp-test-4x3-27,4*3,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`, `Peter`, `Alice`
 - People have unique favorite book genres: `romance`, `mystery`, `fantasy`, `science fiction`
 - People have unique favorite sports: `soccer`, `basketball`, `swimming`, `tennis`

## Clues:
1. The person who loves romance books is the person who loves tennis.
2. Alice is the person who loves swimming.
3. There are two houses between the person who loves soccer and the person who loves fantasy books.
4. The person who loves swimming is in the second house.
5. Eric is the person who loves basketball.
6. The person who loves mystery books is somewhere to the left of Alice.
7. The person who loves tennis is somewhere to the right of Peter.
",[object Object],2024-07-03T21:21:29.207208
lgp-test-5x2-22,5*2,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Peter`, `Bob`, `Alice`, `Eric`
 - People use unique phone models: `iphone 13`, `oneplus 9`, `samsung galaxy s21`, `google pixel 6`, `huawei p50`

## Clues:
1. Peter is in the fourth house.
2. The person who uses a OnePlus 9 is in the second house.
3. The person who uses a Huawei P50 and the person who uses a OnePlus 9 are next to each other.
4. There is one house between Alice and Eric.
5. Eric is in the third house.
6. Arnold is somewhere to the left of the person who uses a Samsung Galaxy S21.
7. Alice is somewhere to the left of the person who uses a Google Pixel 6.
8. There is one house between Alice and the person who uses a Google Pixel 6.
9. The person who uses a Samsung Galaxy S21 is not in the fourth house.
",[object Object],2024-07-03T21:21:29.208334
lgp-test-4x3-36,4*3,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Alice`, `Peter`
 - Each person lives in a unique style of house: `craftsman`, `ranch`, `victorian`, `colonial`
 - Each person has a unique favorite drink: `water`, `tea`, `milk`, `coffee`

## Clues:
1. Eric is the one who only drinks water.
2. The person who likes milk is the person residing in a Victorian house.
3. The person in a ranch-style home is somewhere to the left of the person in a Craftsman-style house.
4. Eric is in the third house.
5. Arnold is somewhere to the right of Alice.
6. The person in a ranch-style home is Arnold.
7. Eric and the person residing in a Victorian house are next to each other.
8. The tea drinker is not in the first house.
",[object Object],2024-07-03T21:21:29.207264
lgp-test-5x2-14,5*2,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Peter`, `Bob`, `Alice`, `Eric`
 - Everyone has something unique for lunch: `spaghetti`, `pizza`, `stew`, `grilled cheese`, `stir fry`

## Clues:
1. Peter is in the fourth house.
2. The person who loves the stew is not in the second house.
3. The person who loves the stew is not in the fourth house.
4. Eric is not in the fifth house.
5. The person who loves eating grilled cheese is Bob.
6. The person who loves the spaghetti eater is in the third house.
7. The person who loves stir fry is in the first house.
8. Alice is in the third house.
",[object Object],2024-07-03T21:21:29.208282
