"id","puzzle","question","choices","answer","created_at"
"lgp-test-4x4-22#mc-11","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Alice`, `Peter`, `Arnold`
 - Each person prefers a unique type of vacation: `mountain`, `cruise`, `beach`, `city`
 - Each person has a unique birthday month: `jan`, `feb`, `sept`, `april`
 - The people are of nationalities: `swede`, `dane`, `brit`, `norwegian`

## Clues:
1. The person who enjoys mountain retreats is Alice.
2. The Norwegian is somewhere to the left of the person whose birthday is in September.
3. The person who prefers city breaks is the British person.
4. Alice and Eric are next to each other.
5. The person who likes going on cruises is not in the fourth house.
6. Alice is somewhere to the left of the person whose birthday is in January.
7. The person who enjoys mountain retreats is the Norwegian.
8. Alice is directly left of the Swedish person.
9. Eric is in the third house.
10. The person whose birthday is in April is Peter.
11. The Dane is the person whose birthday is in September.
","What is Nationality of the person who lives in House 3?","['dane','norwegian','swede','brit']","swede","2024-07-03T21:21:31.324376"
"lgp-test-6x6-9#mc-34","There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`, `Bob`, `Peter`, `Carol`, `Alice`
 - Each mother is accompanied by their child: `Fred`, `Bella`, `Timothy`, `Meredith`, `Samantha`, `Alice`
 - Everyone has something unique for lunch: `pizza`, `stir fry`, `grilled cheese`, `spaghetti`, `soup`, `stew`
 - Each person has a unique type of pet: `rabbit`, `fish`, `cat`, `dog`, `bird`, `hamster`
 - Each person has a unique birthday month: `may`, `sept`, `mar`, `jan`, `april`, `feb`
 - Each person has a unique favorite drink: `water`, `milk`, `coffee`, `tea`, `boba tea`, `root beer`

## Clues:
1. The person whose birthday is in May is the person who loves the spaghetti eater.
2. The person's child is named Fred is the person who loves the stew.
3. The person who likes milk is the person with a pet hamster.
4. There is one house between the person who loves the spaghetti eater and the person who has a cat.
5. The person who is the mother of Timothy is Bob.
6. The person whose birthday is in January is directly left of the one who only drinks water.
7. Carol is the coffee drinker.
8. Peter is not in the fifth house.
9. The person whose birthday is in April is the person's child is named Alice.
10. The person who loves eating grilled cheese is somewhere to the right of the person whose birthday is in September.
11. The person's child is named Bella and Bob are next to each other.
12. The person who owns a rabbit is Peter.
13. The person who keeps a pet bird is the person who loves the soup.
14. The person who owns a rabbit is somewhere to the right of the person who loves stir fry.
15. The person who loves eating grilled cheese is somewhere to the left of the person who owns a rabbit.
16. The person whose birthday is in March is the tea drinker.
17. Peter is the person's child is named Bella.
18. The person who is the mother of Timothy is somewhere to the right of the person's child is named Bella.
19. The person with an aquarium of fish and the person's child is named Bella are next to each other.
20. The one who only drinks water is the person's child is named Fred.
21. The person whose birthday is in May is somewhere to the right of the person with an aquarium of fish.
22. The person with a pet hamster is the person's child is named Meredith.
23. The root beer lover is the person who loves the spaghetti eater.
24. Carol is directly left of Alice.
25. Eric is in the third house.
26. The person who is a pizza lover is Bob.
","What is Birthday of the person who lives in House 6?","['jan','april','feb','may','mar','sept']","feb","2024-07-03T21:21:31.386897"
"lgp-test-2x6-25#mc-1","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`
 - Each person has a unique birthday month: `april`, `sept`
 - Each person has a favorite color: `red`, `yellow`
 - The people are of nationalities: `dane`, `brit`
 - People have unique hair colors: `black`, `brown`
 - Each mother is accompanied by their child: `Fred`, `Bella`

## Clues:
1. The person who loves yellow is the British person.
2. The person who has black hair is the person's child is named Fred.
3. The person who loves yellow is the person's child is named Bella.
4. The British person is in the second house.
5. Eric is the person who loves yellow.
6. The person whose birthday is in April is Eric.
","What is Birthday of the person who lives in House 1?","['sept','april']","sept","2024-07-03T21:21:31.305507"
"lgp-test-2x5-11#mc-7","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`
 - People have unique heights: `very short`, `short`
 - Each person has a unique hobby: `gardening`, `photography`
 - Everyone has something unique for lunch: `grilled cheese`, `pizza`
 - Each person has an occupation: `doctor`, `engineer`

## Clues:
1. The person who enjoys gardening is directly left of the person who loves eating grilled cheese.
2. Eric is directly left of the person who is a doctor.
3. The person who is very short is not in the first house.
","What is Hobby of the person who lives in House 2?","['photography','gardening']","photography","2024-07-03T21:21:31.302595"
"lgp-test-3x6-39#mc-4","There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Peter`, `Arnold`, `Eric`
 - Each mother is accompanied by their child: `Bella`, `Meredith`, `Fred`
 - People use unique phone models: `samsung galaxy s21`, `iphone 13`, `google pixel 6`
 - People have unique favorite book genres: `romance`, `science fiction`, `mystery`
 - Everyone has a unique favorite cigar: `blue master`, `prince`, `pall mall`
 - People have unique heights: `short`, `very short`, `average`

## Clues:
1. Eric is directly left of the Prince smoker.
2. The person who has an average height is somewhere to the right of Peter.
3. The person who uses a Samsung Galaxy S21 is in the second house.
4. The person who smokes Blue Master is in the third house.
5. The person who uses a Google Pixel 6 is Eric.
6. Arnold is somewhere to the right of the person who loves science fiction books.
7. The person who uses an iPhone 13 is the person's child is named Bella.
8. The person who is short is the Prince smoker.
9. The person who loves mystery books is the person who uses a Google Pixel 6.
10. The person's child is named Meredith and the person who is short are next to each other.
","What is Cigar of the person who lives in House 1?","['pall mall','prince','blue master']","pall mall","2024-07-03T21:21:31.318435"
"lgp-test-2x3-37#mc-2","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - People have unique heights: `short`, `very short`
 - Each person has a unique birthday month: `sept`, `april`

## Clues:
1. The person who is short is Eric.
2. Eric is the person whose birthday is in April.
3. The person who is short is in the second house.
","What is Birthday of the person who lives in House 1?","['sept','april']","sept","2024-07-03T21:21:31.300349"
"lgp-test-4x6-22#mc-23","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Alice`, `Arnold`, `Peter`
 - Each person has a unique favorite drink: `milk`, `water`, `coffee`, `tea`
 - They all have a unique favorite flower: `lilies`, `roses`, `daffodils`, `carnations`
 - People have unique favorite sports: `tennis`, `basketball`, `soccer`, `swimming`
 - Each person has an occupation: `doctor`, `teacher`, `artist`, `engineer`
 - Each mother is accompanied by their child: `Fred`, `Samantha`, `Bella`, `Meredith`

## Clues:
1. The person who loves basketball is somewhere to the left of the person who is an engineer.
2. Eric is the person who loves a carnations arrangement.
3. The person who loves the rose bouquet is somewhere to the left of Peter.
4. The person who is a doctor is the person who loves tennis.
5. The person's child is named Bella is directly left of the person's child is named Samantha.
6. The person who is an artist is not in the third house.
7. The person who loves the rose bouquet is in the second house.
8. The person who loves a bouquet of daffodils and the person who loves tennis are next to each other.
9. The person who loves a bouquet of daffodils is the person who is a teacher.
10. The person who loves the rose bouquet is the person who likes milk.
11. The person's child is named Samantha is Alice.
12. The person who loves tennis is directly left of the one who only drinks water.
13. The person who loves a carnations arrangement is in the fourth house.
14. Arnold is somewhere to the left of the person who is an artist.
15. The person's child is named Fred is not in the fourth house.
16. The coffee drinker is the person who loves swimming.
","What is Children of the person who lives in House 4?","['Fred','Meredith','Samantha','Bella']","Meredith","2024-07-03T21:21:31.334843"
"lgp-test-2x2-26#mc-2","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - People have unique hair colors: `brown`, `black`

## Clues:
1. Arnold is in the first house.
2. The person who has brown hair is not in the first house.
","What is Name of the person who lives in House 2?","['Arnold','Eric']","Eric","2024-07-03T21:21:31.298991"
"lgp-test-2x5-33#mc-0","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - The people keep unique animals: `cat`, `horse`
 - People have unique heights: `short`, `very short`
 - People have unique favorite book genres: `science fiction`, `mystery`
 - Each person prefers a unique type of vacation: `mountain`, `beach`

## Clues:
1. The person who loves beach vacations is directly left of Eric.
2. The person who loves beach vacations and the person who is very short are next to each other.
3. The cat lover is the person who is short.
4. The person who is short is the person who loves mystery books.
","What is Name of the person who lives in House 1?","['Eric','Arnold']","Arnold","2024-07-03T21:21:31.303665"
"lgp-test-4x3-28#mc-4","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Alice`, `Arnold`, `Peter`
 - Each person has a favorite color: `red`, `green`, `white`, `yellow`
 - The people keep unique animals: `fish`, `horse`, `cat`, `bird`

## Clues:
1. Alice and Peter are next to each other.
2. The person whose favorite color is red is directly left of the cat lover.
3. The person whose favorite color is green is the person who keeps horses.
4. Arnold is the person who loves white.
5. The person whose favorite color is green is directly left of the person who loves white.
6. Peter is the person whose favorite color is green.
7. The bird keeper is Eric.
","What is Color of the person who lives in House 2?","['red','green','white','yellow']","yellow","2024-07-03T21:21:31.321729"
"lgp-test-2x3-30#mc-4","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`
 - Everyone has something unique for lunch: `pizza`, `grilled cheese`
 - They all have a unique favorite flower: `daffodils`, `carnations`

## Clues:
1. The person who loves a carnations arrangement and Eric are next to each other.
2. The person who loves a carnations arrangement is in the first house.
3. The person who loves eating grilled cheese is in the first house.
","What is Food of the person who lives in House 2?","['grilled cheese','pizza']","pizza","2024-07-03T21:21:31.300158"
"lgp-test-5x2-34#mc-2","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Arnold`, `Eric`, `Peter`, `Bob`
 - People own unique car models: `toyota camry`, `tesla model 3`, `honda civic`, `ford f150`, `bmw 3 series`

## Clues:
1. There are two houses between the person who owns a Tesla Model 3 and the person who owns a Toyota Camry.
2. There are two houses between the person who owns a Honda Civic and Bob.
3. Arnold is somewhere to the right of the person who owns a Tesla Model 3.
4. Eric is in the first house.
5. Peter is directly left of the person who owns a Ford F-150.
6. The person who owns a Ford F-150 is in the fourth house.
","What is Name of the person who lives in House 2?","['Eric','Peter','Bob','Alice','Arnold']","Alice","2024-07-03T21:21:31.339383"
"lgp-test-5x4-1#mc-3","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Eric`, `Peter`, `Arnold`, `Bob`
 - The mothers' names in different houses are unique: `Janelle`, `Penny`, `Kailyn`, `Aniya`, `Holly`
 - People have unique hair colors: `black`, `red`, `blonde`, `gray`, `brown`
 - Each person has an occupation: `doctor`, `lawyer`, `artist`, `teacher`, `engineer`

## Clues:
1. The person whose mother's name is Penny is Eric.
2. The person who is an engineer is The person whose mother's name is Aniya.
3. The person who has red hair is the person who is an engineer.
4. The person whose mother's name is Holly is somewhere to the right of The person whose mother's name is Aniya.
5. The person who has brown hair is in the fifth house.
6. Alice is The person whose mother's name is Kailyn.
7. Peter is in the fifth house.
8. Arnold is the person who is an engineer.
9. The person who has blonde hair is somewhere to the left of The person whose mother's name is Penny.
10. The person whose mother's name is Janelle is Peter.
11. The person who is a doctor and The person whose mother's name is Aniya are next to each other.
12. The person who is a teacher is The person whose mother's name is Janelle.
13. The person whose mother's name is Penny is somewhere to the left of the person who is a lawyer.
14. The person who has gray hair is in the second house.
","What is Occupation of the person who lives in House 1?","['engineer','artist','doctor','teacher','lawyer']","artist","2024-07-03T21:21:31.343277"
"lgp-test-3x6-8#mc-10","There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Peter`, `Eric`
 - Each person has a unique birthday month: `sept`, `april`, `jan`
 - People have unique favorite book genres: `mystery`, `science fiction`, `romance`
 - Everyone has a unique favorite cigar: `prince`, `blue master`, `pall mall`
 - The people keep unique animals: `bird`, `cat`, `horse`
 - People own unique car models: `toyota camry`, `ford f150`, `tesla model 3`

## Clues:
1. Arnold is the Prince smoker.
2. Eric is somewhere to the right of the person who loves romance books.
3. The person who keeps horses is the Prince smoker.
4. The person who smokes Blue Master is the person who loves mystery books.
5. The person who owns a Toyota Camry is the person partial to Pall Mall.
6. The person who owns a Tesla Model 3 is the person whose birthday is in September.
7. Peter is the person partial to Pall Mall.
8. The Prince smoker is somewhere to the right of the person who loves mystery books.
9. The person who keeps horses is the person whose birthday is in January.
10. The person who owns a Toyota Camry is the bird keeper.
","What is Animal of the person who lives in House 2?","['bird','horse','cat']","cat","2024-07-03T21:21:31.315445"
"lgp-test-6x6-38#mc-11","There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Carol`, `Arnold`, `Bob`, `Eric`, `Peter`, `Alice`
 - People use unique phone models: `iphone 13`, `huawei p50`, `oneplus 9`, `google pixel 6`, `xiaomi mi 11`, `samsung galaxy s21`
 - Everyone has a unique favorite cigar: `pall mall`, `yellow monster`, `prince`, `blends`, `dunhill`, `blue master`
 - Each person prefers a unique type of vacation: `cultural`, `beach`, `city`, `camping`, `cruise`, `mountain`
 - People have unique hair colors: `brown`, `red`, `gray`, `black`, `blonde`, `auburn`
 - Each person has a unique favorite drink: `coffee`, `boba tea`, `milk`, `water`, `root beer`, `tea`

## Clues:
1. The person who prefers city breaks is Bob.
2. The person who has brown hair is the one who only drinks water.
3. Eric is directly left of the person who uses a Samsung Galaxy S21.
4. There is one house between the person who loves beach vacations and the person who enjoys camping trips.
5. The one who only drinks water is somewhere to the left of the person who uses a Xiaomi Mi 11.
6. The person who has brown hair is the Dunhill smoker.
7. The person who has red hair is Arnold.
8. The person who has auburn hair is the person who uses an iPhone 13.
9. The person who has gray hair is not in the sixth house.
10. The person who likes milk is the person who has auburn hair.
11. The person who smokes Blue Master is Alice.
12. The person who uses a OnePlus 9 is the person who likes going on cruises.
13. The coffee drinker is the Prince smoker.
14. The coffee drinker is the person who uses a Huawei P50.
15. Eric is the tea drinker.
16. The Prince smoker is in the third house.
17. The person who smokes Yellow Monster is somewhere to the right of the coffee drinker.
18. The person who enjoys mountain retreats is Peter.
19. The person who uses a Huawei P50 is the person who has blonde hair.
20. There are two houses between the person who loves beach vacations and the person who uses a Google Pixel 6.
21. The one who only drinks water is in the fourth house.
22. Eric is the person partial to Pall Mall.
23. Bob is the boba tea drinker.
","What is Drink of the person who lives in House 2?","['boba tea','water','tea','root beer','coffee','milk']","root beer","2024-07-03T21:21:31.394734"
"lgp-test-3x4-13#mc-2","There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Peter`
 - Everyone has something unique for lunch: `grilled cheese`, `pizza`, `spaghetti`
 - People have unique favorite music genres: `pop`, `rock`, `classical`
 - Each person has a unique favorite drink: `water`, `milk`, `tea`

## Clues:
1. The person who loves pop music is directly left of the tea drinker.
2. The person who is a pizza lover is directly left of the person who loves classical music.
3. Eric is the person who loves classical music.
4. Arnold is the person who loves pop music.
5. The person who loves the spaghetti eater is in the third house.
6. The person who likes milk and Arnold are next to each other.
","What is MusicGenre of the person who lives in House 1?","['rock','classical','pop']","rock","2024-07-03T21:21:31.309958"
"lgp-test-2x5-34#mc-8","There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`
 - Everyone has a favorite smoothie: `cherry`, `desert`
 - People have unique favorite sports: `soccer`, `basketball`
 - Each person has a unique favorite drink: `water`, `tea`
 - Each person lives in a unique style of house: `victorian`, `colonial`

## Clues:
1. The Desert smoothie lover is somewhere to the right of the person living in a colonial-style house.
2. The person who likes Cherry smoothies is the person who loves basketball.
3. Arnold is in the second house.
4. The person who loves basketball is the tea drinker.
","What is Drink of the person who lives in House 2?","['water','tea']","water","2024-07-03T21:21:31.303757"
